date,description,reference_no,debit,credit,balance,mode
31-03-2020,RTGS Payment - Ludhiana Yarn Mills,TXN1060,11024066,0,81721780,RTGS
01-04-2020,Rent Payment - Factory Premises,RNT202004,400000,0,81321780,NEFT
02-04-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1062,7120561,0,74201219,RTGS
03-04-2020,NEFT Credit - Southern Corp,TXN1063,0,15130162,89331381,RTGS
06-04-2020,NEFT Credit - Coastal Traders,TXN1064,0,3178483,92509864,NEFT
07-04-2020,Salary Payment - All Staff,SAL202004,2200000,0,90309864,NEFT
08-04-2020,NEFT Credit - Falcon Enterprises,TXN1066,0,2778552,93088416,NEFT
09-04-2020,RTGS Payment - Tirupur Cotton Co,TXN1067,6972423,0,86115993,RTGS
13-04-2020,NEFT Credit - Prestige Manufacturing,TXN1068,0,6731946,92847939,RTGS
14-04-2020,RTGS Payment - Punjab Suppliers Co,TXN1069,5219704,0,87628235,RTGS
15-04-2020,NEFT - Promoter Capital Infusion Amit Shah,PROMO2020,0,15000000,102628235,RTGS
16-04-2020,RTGS Payment - Bangalore Thread Works,TXN1071,6959418,0,95668817,RTGS
17-04-2020,NEFT Credit - Orbit Solutions,TXN1072,0,13236436,108905253,RTGS
20-04-2020,GST Payment - GSTIN MH29AA1234Z,GST202004,661740,0,108243513,NEFT
21-04-2020,RTGS Payment - Mumbai Transport Co,TXN1074,12465264,0,95778249,RTGS
22-04-2020,NEFT Credit - Diamond Exports Ltd,TXN1075,0,4636987,100415236,NEFT
23-04-2020,RTGS Payment - Kolkata Packaging Co,TXN1076,4022608,0,96392628,RTGS
24-04-2020,NEFT Credit - Falcon Enterprises,TXN1077,0,14738841,111131469,RTGS
27-04-2020,NEFT Credit - Eastern Exports,TXN1078,0,11282538,122414007,RTGS
28-04-2020,Electricity Bill - MSEDCL,ELEC202004,214438,0,122199569,NEFT
29-04-2020,NEFT Credit - Deccan Industries,TXN1080,0,12047725,134247294,RTGS
30-04-2020,RTGS Payment - Mumbai Transport Co,TXN1081,11470057,0,122777237,RTGS
01-05-2020,Rent Payment - Factory Premises,RNT202005,400000,0,122377237,NEFT
04-05-2020,NEFT Credit - Prestige Manufacturing,TXN1083,0,8313292,130690529,RTGS
05-05-2020,Loan EMI - Punjab National Bank,EMI1202005,800000,0,129890529,NEFT
06-05-2020,NEFT Credit - Falcon Enterprises,TXN1085,0,4560821,134451350,NEFT
07-05-2020,Salary Payment - All Staff,SAL202005,2200000,0,132251350,NEFT
08-05-2020,NEFT Credit - National Traders,TXN1087,0,10519821,142771171,RTGS
11-05-2020,NEFT Credit - Apex Corp,TXN1088,0,14919920,157691091,RTGS
12-05-2020,RTGS Payment - Gujarat Raw Materials Ltd,TXN1089,3519607,0,154171484,RTGS
13-05-2020,NEFT Credit - Pioneer Mfg Ltd,TXN1090,0,12766797,166938281,RTGS
14-05-2020,RTGS Payment - Rajasthan Textiles Supply,TXN1091,8762668,0,158175613,RTGS
18-05-2020,NEFT Credit - Bharat Industries Ltd,TXN1092,0,3305818,161481431,NEFT
19-05-2020,RTGS Payment - Mumbai Transport Co,TXN1093,8082509,0,153398922,RTGS
20-05-2020,GST Payment - GSTIN MH29AA1234Z,GST202005,645392,0,152753530,NEFT
21-05-2020,RTGS Payment - Hyderabad Dye Stuff Co,TXN1095,5898028,0,146855502,RTGS
22-05-2020,NEFT Credit - Eastern Exports,TXN1096,0,2432619,149288121,NEFT
25-05-2020,NEFT Credit - Ganges Corp,TXN1097,0,14331705,163619826,RTGS
26-05-2020,RTGS Payment - Punjab Suppliers Co,TXN1098,10688867,0,152930959,RTGS
27-05-2020,NEFT Credit - Coastal Traders,TXN1099,0,6716583,159647542,RTGS
28-05-2020,Electricity Bill - MSEDCL,ELEC202005,224587,0,159422955,NEFT
29-05-2020,NEFT Credit - Global Exports India,TXN1101,0,7164115,166587070,RTGS
01-06-2020,Rent Payment - Factory Premises,RNT202006,400000,0,166187070,NEFT
02-06-2020,RTGS Payment - Mumbai Transport Co,TXN1103,4333446,0,161853624,RTGS
03-06-2020,NEFT Credit - Diamond Exports Ltd,TXN1104,0,2294447,164148071,NEFT
04-06-2020,RTGS Payment - Ludhiana Yarn Mills,TXN1105,6098934,0,158049137,RTGS
05-06-2020,Loan EMI - Punjab National Bank,EMI1202006,800000,0,157249137,NEFT
08-06-2020,NEFT Credit - National Traders,TXN1107,0,15023604,172272741,RTGS
09-06-2020,RTGS Payment - Rajasthan Textiles Supply,TXN1108,10197485,0,162075256,RTGS
10-06-2020,ECLGS Loan Credit - PNB Emergency Credit,ECLGS001,0,8000000,170075256,RTGS
11-06-2020,RTGS Payment - Punjab Suppliers Co,TXN1110,12170796,0,157904460,RTGS
12-06-2020,NEFT Credit - Crown Industries,TXN1111,0,12959793,170864253,RTGS
15-06-2020,Advance Tax Payment,ADVTAX202006,800000,0,170064253,NEFT
16-06-2020,RTGS Payment - Hyderabad Dye Stuff Co,TXN1113,11896824,0,158167429,RTGS
17-06-2020,NEFT Credit - Orbit Solutions,TXN1114,0,4804217,162971646,NEFT
18-06-2020,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1115,4390343,0,158581303,RTGS
19-06-2020,NEFT Credit - Eastern Exports,TXN1116,0,15303184,173884487,RTGS
22-06-2020,NEFT Credit - Prime Exports,TXN1117,0,11137858,185022345,RTGS
23-06-2020,RTGS Payment - Gujarat Raw Materials Ltd,TXN1118,11728622,0,173293723,RTGS
24-06-2020,NEFT Credit - Silver Oak Ltd,TXN1119,0,10437443,183731166,RTGS
25-06-2020,RTGS Payment - Gujarat Raw Materials Ltd,TXN1120,3556828,0,180174338,RTGS
26-06-2020,NEFT Credit - Prime Exports,TXN1121,0,8329806,188504144,RTGS
29-06-2020,NEFT Credit - Allied Industries,TXN1122,0,7399230,195903374,RTGS
30-06-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1123,2651823,0,193251551,RTGS
01-07-2020,Rent Payment - Factory Premises,RNT202007,400000,0,192851551,NEFT
02-07-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1125,11198669,0,181652882,RTGS
03-07-2020,NEFT Credit - Apex Corp,TXN1126,0,3677026,185329908,NEFT
06-07-2020,NEFT Credit - Deccan Industries,TXN1127,0,10393566,195723474,RTGS
07-07-2020,Salary Payment - All Staff,SAL202007,2200000,0,193523474,NEFT
08-07-2020,NEFT Credit - Southern Corp,TXN1129,0,3401193,196924667,NEFT
09-07-2020,RTGS Payment - Tirupur Cotton Co,TXN1130,10617326,0,186307341,RTGS
13-07-2020,NEFT Credit - Coastal Traders,TXN1131,0,4349911,190657252,NEFT
14-07-2020,RTGS Payment - Rajasthan Textiles Supply,TXN1132,9653915,0,181003337,RTGS
16-07-2020,RTGS Payment - Hyderabad Dye Stuff Co,TXN1133,4450370,0,176552967,RTGS
17-07-2020,NEFT Credit - Horizon Corp Ltd,TXN1134,0,11092897,187645864,RTGS
20-07-2020,GST Payment - GSTIN MH29AA1234Z,GST202007,621846,0,187024018,NEFT
21-07-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1136,10727886,0,176296132,RTGS
22-07-2020,NEFT Credit - Coastal Traders,TXN1137,0,14486211,190782343,RTGS
23-07-2020,RTGS Payment - Ludhiana Yarn Mills,TXN1138,5054754,0,185727589,RTGS
24-07-2020,NEFT Credit - Himalaya Exports,TXN1139,0,7469731,193197320,RTGS
27-07-2020,NEFT Credit - Prestige Manufacturing,TXN1140,0,13509037,206706357,RTGS
28-07-2020,Electricity Bill - MSEDCL,ELEC202007,228944,0,206477413,NEFT
29-07-2020,NEFT Credit - Diamond Exports Ltd,TXN1142,0,10923481,217400894,RTGS
30-07-2020,RTGS Payment - Pune Engineering Works,TXN1143,3710113,0,213690781,RTGS
31-07-2020,NEFT Credit - Falcon Enterprises,TXN1144,0,6009795,219700576,RTGS
03-08-2020,NEFT Credit - Apex Corp,TXN1145,0,7912134,227612710,RTGS
04-08-2020,RTGS Payment - Gujarat Raw Materials Ltd,TXN1146,11550182,0,216062528,RTGS
05-08-2020,Loan EMI - Punjab National Bank,EMI1202008,800000,0,215262528,NEFT
06-08-2020,RTGS Payment - Hyderabad Dye Stuff Co,TXN1148,5540684,0,209721844,RTGS
07-08-2020,Salary Payment - All Staff,SAL202008,2200000,0,207521844,NEFT
11-08-2020,RTGS Payment - Bangalore Thread Works,TXN1150,5374634,0,202147210,RTGS
12-08-2020,NEFT Credit - Zenith Industries Ltd,TXN1151,0,3431066,205578276,NEFT
13-08-2020,RTGS Payment - Ludhiana Yarn Mills,TXN1152,12268150,0,193310126,RTGS
14-08-2020,NEFT Credit - Metro Traders Pvt Ltd,TXN1153,0,6081005,199391131,RTGS
17-08-2020,NEFT Credit - Apex Corp,TXN1154,0,2767021,202158152,NEFT
18-08-2020,RTGS Payment - Ahmedabad Dyes Ltd,TXN1155,7223670,0,194934482,RTGS
19-08-2020,NEFT Credit - Apex Corp,TXN1156,0,10866108,205800590,RTGS
20-08-2020,GST Payment - GSTIN MH29AA1234Z,GST202008,524782,0,205275808,NEFT
21-08-2020,NEFT Credit - Horizon Corp Ltd,TXN1158,0,13463584,218739392,RTGS
24-08-2020,NEFT Credit - Royal Textiles,TXN1159,0,5834297,224573689,RTGS
25-08-2020,RTGS Payment - Hyderabad Dye Stuff Co,TXN1160,3899824,0,220673865,RTGS
26-08-2020,NEFT Credit - Deccan Industries,TXN1161,0,11820513,232494378,RTGS
27-08-2020,RTGS Payment - Bangalore Thread Works,TXN1162,9610103,0,222884275,RTGS
28-08-2020,Electricity Bill - MSEDCL,ELEC202008,211850,0,222672425,NEFT
31-08-2020,NEFT Credit - Northern Exports,TXN1164,0,10175169,232847594,RTGS
01-09-2020,Rent Payment - Factory Premises,RNT202009,400000,0,232447594,NEFT
02-09-2020,NEFT Credit - Northern Exports,TXN1166,0,9069332,241516926,RTGS
03-09-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1167,3262524,0,238254402,RTGS
04-09-2020,NEFT Credit - Global Exports India,TXN1168,0,13295895,251550297,RTGS
07-09-2020,Salary Payment - All Staff,SAL202009,2200000,0,249350297,NEFT
07-09-2020,TDS Payment Challan 281,TDS202009,236498,0,249113799,NEFT
08-09-2020,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1171,8786470,0,240327329,RTGS
09-09-2020,NEFT Credit - Sterling Corp,TXN1172,0,10075373,250402702,RTGS
11-09-2020,NEFT Credit - Central Trading,TXN1173,0,14471863,264874565,RTGS
14-09-2020,NEFT Credit - Metro Traders Pvt Ltd,TXN1174,0,13537182,278411747,RTGS
15-09-2020,Advance Tax Payment,ADVTAX202009,800000,0,277611747,NEFT
16-09-2020,NEFT Credit - Indus Trading,TXN1176,0,13081097,290692844,RTGS
17-09-2020,RTGS Payment - Punjab Suppliers Co,TXN1177,2696911,0,287995933,RTGS
18-09-2020,NEFT Credit - Prestige Manufacturing,TXN1178,0,14457396,302453329,RTGS
21-09-2020,NEFT Credit - Silver Oak Ltd,TXN1179,0,4073230,306526559,NEFT
22-09-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1180,4894348,0,301632211,RTGS
23-09-2020,NEFT Credit - Orbit Solutions,TXN1181,0,11237381,312869592,RTGS
24-09-2020,RTGS Payment - Pune Engineering Works,TXN1182,4031868,0,308837724,RTGS
25-09-2020,NEFT Credit - Sterling Corp,TXN1183,0,5318418,314156142,RTGS
28-09-2020,Electricity Bill - MSEDCL,ELEC202009,216509,0,313939633,NEFT
29-09-2020,RTGS Payment - Pune Engineering Works,TXN1185,5871056,0,308068577,RTGS
30-09-2020,NEFT Credit - Central Trading,TXN1186,0,3504748,311573325,NEFT
01-10-2020,Rent Payment - Factory Premises,RNT202010,400000,0,311173325,NEFT
02-10-2020,NEFT Credit - Diamond Exports Ltd,TXN1188,0,11472926,322646251,RTGS
05-10-2020,Loan EMI - Punjab National Bank,EMI1202010,800000,0,321846251,NEFT
06-10-2020,RTGS Payment - Punjab Suppliers Co,TXN1190,2528731,0,319317520,RTGS
07-10-2020,Salary Payment - All Staff,SAL202010,2200000,0,317117520,NEFT
08-10-2020,RTGS Payment - Surat Fabric Traders,TXN1192,10749560,0,306367960,RTGS
09-10-2020,NEFT Credit - Southern Corp,TXN1193,0,2487595,308855555,NEFT
12-10-2020,NEFT Credit - Apex Corp,TXN1194,0,14882731,323738286,RTGS
13-10-2020,RTGS Payment - Ahmedabad Dyes Ltd,TXN1195,5645789,0,318092497,RTGS
14-10-2020,NEFT Credit - Sunrise Trading Co,TXN1196,0,9058496,327150993,RTGS
16-10-2020,NEFT Credit - Royal Textiles,TXN1197,0,10315854,337466847,RTGS
19-10-2020,NEFT Credit - Orbit Solutions,TXN1198,0,8968339,346435186,RTGS
20-10-2020,GST Payment - GSTIN MH29AA1234Z,GST202010,430741,0,346004445,NEFT
21-10-2020,NEFT Credit - Sunrise Trading Co,TXN1200,0,8598113,354602558,RTGS
22-10-2020,RTGS Payment - Gujarat Raw Materials Ltd,TXN1201,8230190,0,346372368,RTGS
23-10-2020,NEFT Credit - Horizon Corp Ltd,TXN1202,0,15394521,361766889,RTGS
26-10-2020,NEFT Credit - Northern Exports,TXN1203,0,9873773,371640662,RTGS
27-10-2020,RTGS Payment - Kolkata Packaging Co,TXN1204,8776887,0,362863775,RTGS
28-10-2020,Electricity Bill - MSEDCL,ELEC202010,243788,0,362619987,NEFT
29-10-2020,RTGS Payment - Rajasthan Textiles Supply,TXN1206,4865957,0,357754030,RTGS
30-10-2020,NEFT Credit - Crown Industries,TXN1207,0,5892414,363646444,RTGS
02-11-2020,NEFT Credit - Metro Traders Pvt Ltd,TXN1208,0,11957032,375603476,RTGS
03-11-2020,RTGS Payment - Ludhiana Yarn Mills,TXN1209,10776526,0,364826950,RTGS
04-11-2020,NEFT Credit - Metro Traders Pvt Ltd,TXN1210,0,14788947,379615897,RTGS
05-11-2020,Loan EMI - Punjab National Bank,EMI1202011,800000,0,378815897,NEFT
06-11-2020,NEFT Credit - Silver Oak Ltd,TXN1212,0,3199074,382014971,NEFT
09-11-2020,NEFT Credit - Metro Traders Pvt Ltd,TXN1213,0,12040873,394055844,RTGS
11-11-2020,NEFT Credit - Royal Textiles,TXN1214,0,10676429,404732273,RTGS
12-11-2020,RTGS Payment - Ahmedabad Dyes Ltd,TXN1215,10590817,0,394141456,RTGS
13-11-2020,NEFT Credit - Sunrise Trading Co,TXN1216,0,3194280,397335736,NEFT
16-11-2020,NEFT Credit - National Traders,TXN1217,0,3584047,400919783,NEFT
17-11-2020,RTGS Payment - Ahmedabad Dyes Ltd,TXN1218,4797625,0,396122158,RTGS
18-11-2020,NEFT Credit - Apex Corp,TXN1219,0,12223032,408345190,RTGS
19-11-2020,RTGS Payment - Punjab Suppliers Co,TXN1220,5626066,0,402719124,RTGS
20-11-2020,GST Payment - GSTIN MH29AA1234Z,GST202011,611694,0,402107430,NEFT
23-11-2020,NEFT Credit - Global Exports India,TXN1222,0,11797567,413904997,RTGS
24-11-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1223,11392650,0,402512347,RTGS
25-11-2020,NEFT Credit - Bharat Industries Ltd,TXN1224,0,2906754,405419101,NEFT
26-11-2020,RTGS Payment - Bangalore Thread Works,TXN1225,3055453,0,402363648,RTGS
27-11-2020,NEFT Credit - Sterling Corp,TXN1226,0,13268891,415632539,RTGS
30-11-2020,NEFT Credit - Western Corp,TXN1227,0,11722934,427355473,RTGS
01-12-2020,Rent Payment - Factory Premises,RNT202012,400000,0,426955473,NEFT
02-12-2020,NEFT Credit - National Traders,TXN1229,0,7547805,434503278,RTGS
03-12-2020,RTGS Payment - Kolkata Packaging Co,TXN1230,5106900,0,429396378,RTGS
04-12-2020,NEFT Credit - Ganges Corp,TXN1231,0,14255704,443652082,RTGS
07-12-2020,Salary Payment - All Staff,SAL202012,2200000,0,441452082,NEFT
07-12-2020,TDS Payment Challan 281,TDS202012,221180,0,441230902,NEFT
08-12-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1234,6136272,0,435094630,RTGS
09-12-2020,NEFT Credit - Prestige Manufacturing,TXN1235,0,4435773,439530403,NEFT
11-12-2020,NEFT Credit - Ganges Corp,TXN1236,0,13069706,452600109,RTGS
14-12-2020,NEFT Credit - Crown Industries,TXN1237,0,9910955,462511064,RTGS
15-12-2020,Advance Tax Payment,ADVTAX202012,800000,0,461711064,NEFT
16-12-2020,NEFT Credit - Silver Oak Ltd,TXN1239,0,14854192,476565256,RTGS
17-12-2020,RTGS Payment - Punjab Suppliers Co,TXN1240,1836287,0,474728969,NEFT
18-12-2020,NEFT Credit - Diamond Exports Ltd,TXN1241,0,12661322,487390291,RTGS
21-12-2020,NEFT Credit - Western Corp,TXN1242,0,3917407,491307698,NEFT
22-12-2020,RTGS Payment - Punjab Suppliers Co,TXN1243,10700008,0,480607690,RTGS
23-12-2020,NEFT Credit - Orbit Solutions,TXN1244,0,10727336,491335026,RTGS
24-12-2020,RTGS Payment - Kolkata Packaging Co,TXN1245,3902252,0,487432774,RTGS
25-12-2020,NEFT Credit - Prime Exports,TXN1246,0,8095396,495528170,RTGS
28-12-2020,Electricity Bill - MSEDCL,ELEC202012,189016,0,495339154,NEFT
29-12-2020,RTGS Payment - Chennai Chemicals Ltd,TXN1248,7879635,0,487459519,RTGS
30-12-2020,NEFT Credit - Crown Industries,TXN1249,0,4886552,492346071,NEFT
31-12-2020,RTGS Payment - Pune Engineering Works,TXN1250,10793685,0,481552386,RTGS
01-01-2021,Rent Payment - Factory Premises,RNT202101,500000,0,481052386,NEFT
04-01-2021,NEFT Credit - Crown Industries,TXN1252,0,13062249,494114635,RTGS
04-01-2021,NEFT Credit - Northern Exports,TXN1253,0,13771901,507886536,RTGS
04-01-2021,NEFT Credit - National Traders,TXN1254,0,2931249,510817785,NEFT
05-01-2021,Loan EMI - Punjab National Bank,EMI1202101,800000,0,510017785,NEFT
06-01-2021,NEFT Credit - Southern Corp,TXN1256,0,12104682,522122467,RTGS
06-01-2021,NEFT Credit - Crown Industries,TXN1257,0,18432272,540554739,RTGS
06-01-2021,NEFT Credit - Ganges Corp,TXN1258,0,4537893,545092632,NEFT
07-01-2021,Salary Payment - All Staff,SAL202101,2800000,0,542292632,NEFT
08-01-2021,NEFT Credit - Horizon Corp Ltd,TXN1260,0,4736571,547029203,NEFT
11-01-2021,NEFT Credit - Deccan Industries,TXN1261,0,12081552,559110755,RTGS
12-01-2021,RTGS Payment - Kolkata Packaging Co,TXN1262,6827085,0,552283670,RTGS
13-01-2021,NEFT Credit - Orbit Solutions,TXN1263,0,14839534,567123204,RTGS
13-01-2021,NEFT Credit - Silver Oak Ltd,TXN1264,0,6215796,573339000,RTGS
13-01-2021,NEFT Credit - Ganges Corp,TXN1265,0,13440747,586779747,RTGS
14-01-2021,RTGS Payment - Hyderabad Dye Stuff Co,TXN1266,10296204,0,576483543,RTGS
14-01-2021,RTGS Payment - Kolkata Packaging Co,TXN1267,2952264,0,573531279,RTGS
18-01-2021,NEFT Credit - Indus Trading,TXN1268,0,9906422,583437701,RTGS
19-01-2021,RTGS Payment - Delhi Logistics Pvt Ltd,TXN1270,15037233,0,566240982,RTGS
19-01-2021,RTGS Payment - Gujarat Raw Materials Ltd,TXN1269,2159486,0,581278215,RTGS
20-01-2021,GST Payment - GSTIN MH29AA1234Z,GST202101,837174,0,565403808,NEFT
21-01-2021,RTGS Payment - Rajasthan Textiles Supply,TXN1272,14535791,0,550868017,RTGS
21-01-2021,RTGS Payment - Pune Engineering Works,TXN1273,11355661,0,539512356,RTGS
22-01-2021,NEFT Credit - Sterling Corp,TXN1274,0,12210455,551722811,RTGS
22-01-2021,NEFT Credit - Zenith Industries Ltd,TXN1275,0,4676932,556399743,NEFT
22-01-2021,NEFT Credit - Apex Corp,TXN1276,0,18655323,575055066,RTGS
25-01-2021,NEFT Credit - Allied Industries,TXN1277,0,5300715,580355781,RTGS
25-01-2021,NEFT Credit - Eastern Exports,TXN1278,0,3404451,583760232,NEFT
25-01-2021,NEFT Credit - Southern Corp,TXN1279,0,8994416,592754648,RTGS
26-01-2021,RTGS Payment - Mumbai Transport Co,TXN1280,4238181,0,588516467,RTGS
27-01-2021,NEFT Credit - Crown Industries,TXN1281,0,8917837,597434304,RTGS
28-01-2021,Electricity Bill - MSEDCL,ELEC202101,367831,0,597066473,NEFT
29-01-2021,NEFT Credit - Allied Industries,TXN1283,0,8803042,605869515,RTGS
01-02-2021,Rent Payment - Factory Premises,RNT202102,500000,0,605369515,NEFT
02-02-2021,RTGS Payment - Surat Fabric Traders,TXN1285,6286414,0,599083101,RTGS
03-02-2021,NEFT Credit - Global Exports India,TXN1286,0,8733742,607816843,RTGS
03-02-2021,NEFT Credit - Coastal Traders,TXN1287,0,12193286,620010129,RTGS
03-02-2021,NEFT Credit - Allied Industries,TXN1288,0,17475244,637485373,RTGS
04-02-2021,RTGS Payment - Bangalore Thread Works,TXN1289,14674147,0,622811226,RTGS
04-02-2021,RTGS Payment - Rajasthan Textiles Supply,TXN1290,6071793,0,616739433,RTGS
05-02-2021,Loan EMI - Punjab National Bank,EMI1202102,800000,0,615939433,NEFT
08-02-2021,NEFT Credit - Northern Exports,TXN1292,0,16402492,632341925,RTGS
09-02-2021,RTGS Payment - Mumbai Transport Co,TXN1293,2515846,0,629826079,RTGS
11-02-2021,RTGS Payment - Ludhiana Yarn Mills,TXN1294,7673147,0,622152932,RTGS
12-02-2021,NEFT Credit - Northern Exports,TXN1295,0,14039176,636192108,RTGS
12-02-2021,NEFT Credit - Central Trading,TXN1296,0,15132219,651324327,RTGS
16-02-2021,RTGS Payment - Kolkata Packaging Co,TXN1297,4770896,0,646553431,RTGS
17-02-2021,NEFT Credit - Central Trading,TXN1299,0,3449691,659221107,NEFT
17-02-2021,NEFT Credit - Central Trading,TXN1300,0,10696868,669917975,RTGS
17-02-2021,NEFT Credit - Global Exports India,TXN1298,0,9217985,655771416,RTGS
18-02-2021,RTGS Payment - Chennai Chemicals Ltd,TXN1301,9822606,0,660095369,RTGS
19-02-2021,NEFT Credit - Crown Industries,TXN1302,0,16566316,676661685,RTGS
19-02-2021,NEFT Credit - Northern Exports,TXN1303,0,17418374,694080059,RTGS
